IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.29.115,2083,0,true,HKG,Asia Pacific,Hong Kong,66,4.38
47.76.227.128,2096,0,true,HKG,Asia Pacific,Hong Kong,42,3.63
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,3.60
47.76.146.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,3.38
47.76.159.146,2083,0,true,HKG,Asia Pacific,Hong Kong,57,3.32
47.76.227.128,8443,0,true,HKG,Asia Pacific,Hong Kong,52,3.23
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,54,3.20
8.218.222.36,80,80,false,HKG,Asia Pacific,Hong Kong,32,3.17
47.76.37.57,8880,0,false,HKG,Asia Pacific,Hong Kong,64,2.69
47.243.139.85,8880,0,false,HKG,Asia Pacific,Hong Kong,110,2.46
47.243.183.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,2.46
8.210.175.109,8080,0,false,HKG,Asia Pacific,Hong Kong,57,2.32
8.217.121.207,8880,8880,false,HKG,Asia Pacific,Hong Kong,62,2.26
47.242.17.250,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,2.25
47.76.204.76,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,2.16
8.210.21.65,2087,0,true,HKG,Asia Pacific,Hong Kong,65,2.11
8.218.98.75,2083,0,true,HKG,Asia Pacific,Hong Kong,77,1.99
47.242.174.27,8443,0,true,HKG,Asia Pacific,Hong Kong,62,1.98
8.217.121.207,2096,0,true,HKG,Asia Pacific,Hong Kong,46,1.97
8.210.39.96,8880,0,false,HKG,Asia Pacific,Hong Kong,76,1.97
47.243.74.220,8080,0,false,HKG,Asia Pacific,Hong Kong,56,1.96
47.243.173.187,2053,0,true,HKG,Asia Pacific,Hong Kong,56,1.79
8.210.43.213,2087,0,true,HKG,Asia Pacific,Hong Kong,50,1.79
47.243.42.219,2096,0,true,HKG,Asia Pacific,Hong Kong,51,1.78
8.218.173.78,2083,0,true,HKG,Asia Pacific,Hong Kong,63,1.74
47.242.42.153,2096,0,true,HKG,Asia Pacific,Hong Kong,81,1.62
47.76.233.67,2053,0,true,HKG,Asia Pacific,Hong Kong,111,1.56
8.218.142.253,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,1.51
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,50,1.51
47.243.26.83,8443,0,true,HKG,Asia Pacific,Hong Kong,58,1.47
8.217.164.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,50,1.47
8.210.207.214,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,1.41
43.155.22.176,80,80,false,HKG,Asia Pacific,Hong Kong,44,1.39
47.243.183.127,80,80,false,HKG,Asia Pacific,Hong Kong,53,1.38
47.243.206.150,80,80,false,HKG,Asia Pacific,Hong Kong,63,1.38
8.210.192.93,2087,0,true,HKG,Asia Pacific,Hong Kong,41,1.37
47.243.70.186,2083,0,true,HKG,Asia Pacific,Hong Kong,56,1.37
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,35,1.35
47.242.54.157,80,80,false,HKG,Asia Pacific,Hong Kong,77,1.35
47.243.169.63,2096,0,true,HKG,Asia Pacific,Hong Kong,67,1.34
47.243.27.217,8880,8880,false,HKG,Asia Pacific,Hong Kong,53,1.33
8.218.204.128,2082,0,false,HKG,Asia Pacific,Hong Kong,56,1.29
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,125,1.28
8.217.123.243,2083,0,true,HKG,Asia Pacific,Hong Kong,56,1.27
8.218.48.92,80,80,false,HKG,Asia Pacific,Hong Kong,55,1.26
47.76.49.246,80,80,false,HKG,Asia Pacific,Hong Kong,56,1.24
47.242.252.237,2096,0,true,HKG,Asia Pacific,Hong Kong,61,1.23
47.242.174.27,80,80,false,HKG,Asia Pacific,Hong Kong,66,1.23
8.217.232.246,80,80,false,HKG,Asia Pacific,Hong Kong,81,1.21
47.76.192.24,2053,0,true,HKG,Asia Pacific,Hong Kong,55,1.20
47.242.174.27,2087,0,true,HKG,Asia Pacific,Hong Kong,43,1.20
8.210.107.246,80,80,false,HKG,Asia Pacific,Hong Kong,45,1.19
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,1.19
8.210.192.93,80,80,false,HKG,Asia Pacific,Hong Kong,62,1.18
47.76.222.57,2053,0,true,HKG,Asia Pacific,Hong Kong,61,1.17
47.76.32.108,2083,0,true,HKG,Asia Pacific,Hong Kong,49,1.17
8.218.122.55,80,80,false,HKG,Asia Pacific,Hong Kong,110,1.17
8.210.39.96,80,80,false,HKG,Asia Pacific,Hong Kong,66,1.16
8.218.155.238,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,1.16
8.218.22.210,2086,0,false,HKG,Asia Pacific,Hong Kong,62,1.16
47.243.139.243,80,80,false,HKG,Asia Pacific,Hong Kong,62,1.15
8.210.192.93,2096,0,true,HKG,Asia Pacific,Hong Kong,61,1.15
8.210.100.23,8080,8080,false,HKG,Asia Pacific,Hong Kong,57,1.15
8.210.85.222,8443,0,true,HKG,Asia Pacific,Hong Kong,44,1.14
8.210.21.65,80,80,false,HKG,Asia Pacific,Hong Kong,42,1.14
8.217.91.121,80,80,false,HKG,Asia Pacific,Hong Kong,49,1.14
47.243.107.148,2087,0,true,HKG,Asia Pacific,Hong Kong,56,1.14
8.217.250.5,80,80,false,HKG,Asia Pacific,Hong Kong,62,1.11
8.210.85.222,2087,0,true,HKG,Asia Pacific,Hong Kong,51,1.11
8.210.89.245,2087,0,true,HKG,Asia Pacific,Hong Kong,45,1.09
47.242.54.157,2087,0,true,HKG,Asia Pacific,Hong Kong,73,1.08
