IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,63,8.67
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,56,7.45
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,28,3.23
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,57,2.43
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,27,2.38
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,56,2.09
47.236.167.231,80,80,false,SIN,Asia Pacific,Singapore,57,2.01
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,63,1.88
8.222.134.170,80,80,false,SIN,Asia Pacific,Singapore,56,1.70
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,62,1.69
8.219.132.64,80,80,false,SIN,Asia Pacific,Singapore,64,1.69
47.238.245.39,80,443,true,SIN,Asia Pacific,Singapore,26,1.63
8.219.200.145,80,80,false,SIN,Asia Pacific,Singapore,71,1.63
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,64,1.55
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,58,1.55
8.219.174.213,80,80,false,SIN,Asia Pacific,Singapore,62,1.50
8.222.156.242,80,80,false,SIN,Asia Pacific,Singapore,69,1.43
8.219.93.5,80,80,false,SIN,Asia Pacific,Singapore,62,1.37
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,64,1.37
8.219.191.40,80,80,false,SIN,Asia Pacific,Singapore,60,1.35
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,72,1.35
8.222.215.228,80,80,false,SIN,Asia Pacific,Singapore,63,1.30
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,66,1.30
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,97,1.29
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,67,1.28
47.236.158.158,80,80,false,SIN,Asia Pacific,Singapore,56,1.28
8.219.77.222,80,80,false,SIN,Asia Pacific,Singapore,71,1.27
8.219.110.81,80,80,false,SIN,Asia Pacific,Singapore,55,1.26
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,72,1.25
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,58,1.14
47.236.202.91,80,80,false,SIN,Asia Pacific,Singapore,62,1.11
8.219.97.50,80,80,false,SIN,Asia Pacific,Singapore,70,1.09
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,68,1.09
8.219.98.13,80,80,false,SIN,Asia Pacific,Singapore,63,1.09
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,63,1.07
8.219.191.110,8443,0,true,SIN,Asia Pacific,Singapore,81,1.05
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,62,1.03
8.219.248.47,80,80,false,SIN,Asia Pacific,Singapore,60,1.03
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,63,1.02
47.245.84.124,80,80,false,SIN,Asia Pacific,Singapore,73,1.01
47.245.86.230,80,80,false,SIN,Asia Pacific,Singapore,72,0.99
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,61,0.96
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,69,0.95
8.219.122.55,80,80,false,SIN,Asia Pacific,Singapore,58,0.94
47.236.205.188,80,80,false,SIN,Asia Pacific,Singapore,61,0.93
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,59,0.92
47.236.118.216,80,80,false,SIN,Asia Pacific,Singapore,61,0.86
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,62,0.86
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,61,0.85
8.219.4.122,80,80,false,SIN,Asia Pacific,Singapore,59,0.85
47.237.10.1,80,80,false,SIN,Asia Pacific,Singapore,67,0.84
47.238.255.53,80,443,true,SIN,Asia Pacific,Singapore,33,0.82
8.219.222.98,80,80,false,SIN,Asia Pacific,Singapore,53,0.78
8.219.83.71,80,80,false,SIN,Asia Pacific,Singapore,66,0.76
8.222.208.38,80,80,false,SIN,Asia Pacific,Singapore,55,0.76
47.76.106.86,80,443,true,SIN,Asia Pacific,Singapore,48,0.72
8.222.146.222,80,80,false,SIN,Asia Pacific,Singapore,59,0.72
8.219.174.142,80,80,false,SIN,Asia Pacific,Singapore,55,0.68
8.217.61.176,80,443,true,SIN,Asia Pacific,Singapore,30,0.65
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,68,0.62
47.76.247.16,80,443,true,SIN,Asia Pacific,Singapore,29,0.60
47.243.122.58,80,443,true,SIN,Asia Pacific,Singapore,33,0.52
8.222.187.4,80,80,false,SIN,Asia Pacific,Singapore,62,0.43
47.236.232.148,2086,0,false,SIN,Asia Pacific,Singapore,97,0.00
8.219.120.87,2095,0,false,SIN,Asia Pacific,Singapore,69,0.00
8.222.184.198,2086,2086,false,SIN,Asia Pacific,Singapore,85,0.00
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,62,0.00
8.219.201.245,2086,2086,false,SIN,Asia Pacific,Singapore,64,0.00
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,92,0.00
47.237.100.206,2095,2095,false,SIN,Asia Pacific,Singapore,72,0.00
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,69,0.00
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,92,0.00
8.219.97.50,2086,2086,false,SIN,Asia Pacific,Singapore,71,0.00
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,93,0.00
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,69,0.00
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,77,0.00
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,71,0.00
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,67,0.00
47.236.146.249,8080,8080,false,SIN,Asia Pacific,Singapore,67,0.00
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,68,0.00
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,77,0.00
8.219.126.240,2052,2052,false,SIN,Asia Pacific,Singapore,67,0.00
