IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,58,8.18
8.219.209.14,2083,0,true,SIN,Asia Pacific,Singapore,81,4.61
47.237.82.15,2096,0,true,SIN,Asia Pacific,Singapore,67,4.26
47.242.107.109,2087,0,true,HKG,Asia Pacific,Hong Kong,51,3.98
47.238.35.50,2053,0,true,HKG,Asia Pacific,Hong Kong,37,3.75
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,48,3.68
47.76.222.57,2087,0,true,HKG,Asia Pacific,Hong Kong,42,3.61
8.222.156.242,80,80,false,SIN,Asia Pacific,Singapore,65,3.51
8.219.153.237,80,80,false,NRT,Asia Pacific,Tokyo,140,3.15
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,34,3.11
8.219.248.47,8080,0,false,SIN,Asia Pacific,Singapore,93,2.81
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,57,2.81
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,73,2.62
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,71,2.52
47.245.105.224,2083,0,true,SIN,Asia Pacific,Singapore,66,2.48
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,2.42
8.222.183.242,2053,0,true,SIN,Asia Pacific,Singapore,85,2.32
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,65,2.26
8.218.53.110,80,80,false,HKG,Asia Pacific,Hong Kong,35,2.19
47.245.84.124,2052,2052,false,SIN,Asia Pacific,Singapore,67,2.06
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,24,2.04
8.210.21.65,80,80,false,HKG,Asia Pacific,Hong Kong,29,1.98
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,58,1.93
8.219.198.139,2082,2082,false,SIN,Asia Pacific,Singapore,85,1.86
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,63,1.75
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,65,1.73
8.210.100.23,80,80,false,HKG,Asia Pacific,Hong Kong,26,1.73
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,63,1.73
8.218.8.142,80,80,false,HKG,Asia Pacific,Hong Kong,26,1.66
