IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.102.111.127,80,80,false,LAX,North America,Los Angeles,184,4.04
34.97.133.187,443,443,true,KIX,Asia Pacific,Osaka,74,3.74
34.102.111.127,443,443,true,LAX,North America,Los Angeles,184,3.58
34.154.20.63,443,443,true,FRA,Europe,Frankfurt,244,1.92
34.141.201.20,443,443,true,FRA,Europe,Frankfurt,214,1.76
34.118.17.165,443,443,true,FRA,Europe,Frankfurt,221,1.52
35.234.126.26,443,443,true,FRA,Europe,Frankfurt,220,1.49
34.154.107.215,443,443,true,FRA,Europe,Frankfurt,212,1.12
35.198.113.107,443,443,true,FRA,Europe,Frankfurt,203,1.09
34.89.179.44,443,443,true,FRA,Europe,Frankfurt,202,1.07
35.198.184.185,443,443,true,FRA,Europe,Frankfurt,221,0.97
34.141.19.118,443,443,true,FRA,Europe,Frankfurt,209,0.97
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,218,0.92
34.154.53.117,443,443,true,FRA,Europe,Frankfurt,211,0.90
34.118.28.162,443,443,true,FRA,Europe,Frankfurt,243,0.79
34.147.127.185,443,443,true,FRA,Europe,Frankfurt,219,0.78
34.125.212.56,443,443,true,LAX,North America,Los Angeles,170,0.77
34.91.183.32,443,443,true,FRA,Europe,Frankfurt,229,0.76
34.154.231.250,443,443,true,FRA,Europe,Frankfurt,217,0.74
34.116.191.111,443,443,true,FRA,Europe,Frankfurt,226,0.71
34.154.166.85,443,443,true,FRA,Europe,Frankfurt,214,0.71
34.118.73.138,443,443,true,FRA,Europe,Frankfurt,226,0.69
34.91.190.69,443,443,true,FRA,Europe,Frankfurt,221,0.65
34.154.243.67,443,443,true,FRA,Europe,Frankfurt,220,0.63
34.141.52.103,443,443,true,FRA,Europe,Frankfurt,208,0.63
34.154.171.104,443,443,true,FRA,Europe,Frankfurt,217,0.60
34.65.68.199,443,443,true,FRA,Europe,Frankfurt,206,0.59
34.118.12.209,443,443,true,FRA,Europe,Frankfurt,223,0.52
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,228,0.52
34.65.57.220,443,443,true,FRA,Europe,Frankfurt,215,0.51
34.65.25.114,443,443,true,FRA,Europe,Frankfurt,280,0.51
34.118.95.240,443,443,true,FRA,Europe,Frankfurt,232,0.45
34.110.234.120,80,80,false,LAX,North America,Los Angeles,204,0.43
34.90.93.252,443,443,true,FRA,Europe,Frankfurt,251,0.38
35.198.135.212,443,443,true,FRA,Europe,Frankfurt,274,0.35
34.97.64.116,8443,443,true,KIX,Asia Pacific,Osaka,76,0.33
34.116.214.69,443,443,true,FRA,Europe,Frankfurt,238,0.31
34.159.254.106,443,443,true,FRA,Europe,Frankfurt,244,0.30
34.160.118.77,80,80,false,LAX,North America,Los Angeles,225,0.25
34.118.77.243,443,443,true,FRA,Europe,Frankfurt,216,0.22
35.234.103.37,443,443,true,FRA,Europe,Frankfurt,216,0.21
34.123.83.237,443,443,true,ORD,North America,Chicago,197,0.16
35.204.32.219,443,443,true,FRA,Europe,Frankfurt,213,0.15
34.118.5.104,443,443,true,FRA,Europe,Frankfurt,233,0.15
34.159.20.254,443,443,true,FRA,Europe,Frankfurt,212,0.14
34.32.211.101,443,443,true,FRA,Europe,Frankfurt,274,0.06
34.49.199.30,80,80,false,LAX,North America,Los Angeles,170,0.00
34.150.133.11,443,443,true,IAD,North America,Ashburn,239,0.00
104.199.156.241,80,443,false,SIN,Asia Pacific,Singapore,39,0.00
